                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                0.86667,                0.56163,                 1.1728,                0.99173,                      1,                  0.995,                0.78538,                0.79337,                0.46616,                  1.089,             0.00087484,             0.00087484,             0.00087484
                     50,                0.94415,                0.64938,                 1.1858,                0.99102,                      1,                  0.995,                0.80587,                0.79649,                0.45012,                 1.0718,             0.00085834,             0.00085834,             0.00085834
                     51,                0.86944,                0.56904,                 1.1114,                0.98982,                      1,                  0.995,                 0.8201,                 0.7118,                0.43441,                0.97825,             0.00084184,             0.00084184,             0.00084184
                     52,                0.89242,                0.67796,                 1.1741,                0.99345,                      1,                  0.995,                 0.8535,                0.77446,                0.51788,                 1.0285,             0.00082533,             0.00082533,             0.00082533
                     53,                0.79748,                 0.5224,                 1.1271,                0.98685,                      1,                  0.995,                0.83527,                0.79482,                0.49287,                 1.0944,             0.00080883,             0.00080883,             0.00080883
                     54,                0.83162,                0.56727,                 1.1472,                0.99141,                      1,                  0.995,                0.81409,                0.74499,                0.41859,                 1.0937,             0.00079233,             0.00079233,             0.00079233
                     55,                0.94997,                0.55608,                 1.1361,                0.99041,                      1,                  0.995,                0.86477,                0.71898,                0.42058,                 1.0617,             0.00077582,             0.00077582,             0.00077582
                     56,                0.85419,                  0.531,                 1.1118,                0.99212,                      1,                  0.995,                0.86437,                0.70349,                0.40693,                 1.0182,             0.00075932,             0.00075932,             0.00075932
                     57,                0.78679,                0.48326,                 1.0505,                0.99212,                      1,                  0.995,                0.83348,                0.70509,                0.38683,                 1.0034,             0.00074282,             0.00074282,             0.00074282
                     58,                0.91832,                0.56128,                 1.1949,                0.99145,                      1,                  0.995,                0.82454,                0.69229,                0.42375,                 1.0045,             0.00072631,             0.00072631,             0.00072631
                     59,                0.76039,                0.47691,                 1.1083,                      1,                0.98715,                  0.995,                0.82916,                0.73978,                0.47048,                 1.0159,             0.00070981,             0.00070981,             0.00070981
                     60,                0.72676,                0.56913,                 1.0836,                0.83487,                      1,                0.97214,                0.77658,                  0.785,                0.49744,                 1.0368,             0.00069331,             0.00069331,             0.00069331
                     61,                0.83339,                0.74128,                 1.1209,                0.99148,                      1,                  0.995,                0.80767,                0.73028,                0.49642,                 1.0148,              0.0006768,              0.0006768,              0.0006768
                     62,                0.98495,                0.63333,                 1.2542,                0.98762,                      1,                  0.995,                0.84593,                0.70687,                0.48695,                 1.0001,              0.0006603,              0.0006603,              0.0006603
